entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,TOTAL
Baja California Sur,subdel,Entre 40 y 45 años,202507,331,275,56,0,43,38,5,0,43
Baja California Sur,subdel,Entre 45 y 50 años,202507,199,159,40,0,43,38,5,0,43
Baja California Sur,subdel,Entre 50 y 55 años,202507,110,91,19,0,30,27,3,0,30
Baja California Sur,subdel,Entre 55 y 60 años,202507,66,57,9,0,15,13,2,0,15
Baja California Sur,subdel,Entre 60 y 65 años,202507,28,25,3,0,8,7,1,0,8
Baja California Sur,subdel,Entre 65 y 70 años,202507,13,12,1,0,3,3,0,0,3
Campeche,subdel,75 años y más,202507,32,32,0,0,0,0,0,0,0
Campeche,subdel,Entre 15 y 20 años,202507,4,4,0,0,0,0,0,0,0
Campeche,subdel,Entre 20 y 25 años,202507,265,251,14,0,10,10,0,0,10
Campeche,subdel,Entre 25 y 30 años,202507,538,484,54,0,25,25,0,0,25
Campeche,subdel,Entre 30 y 35 años,202507,606,544,62,0,61,57,4,0,61
Campeche,subdel,Entre 35 y 40 años,202507,554,495,59,0,44,42,2,0,44
Campeche,subdel,Entre 40 y 45 años,202507,356,319,37,0,44,43,1,0,44
Campeche,subdel,Entre 45 y 50 años,202507,182,162,20,0,26,25,1,0,26
Campeche,subdel,Entre 50 y 55 años,202507,146,125,21,0,12,11,1,0,12
Campeche,subdel,Entre 55 y 60 años,202507,81,71,10,0,10,10,0,0,10
Campeche,subdel,Entre 60 y 65 años,202507,29,29,0,0,1,1,0,0,1
Campeche,subdel,Entre 65 y 70 años,202507,10,10,0,0,0,0,0,0,0
Campeche,subdel,Entre 70 y 75 años,202507,2,2,0,0,0,0,0,0,0
Campeche,subdel,75 años y más,202507,172,158,14,0,1,1,0,0,1
Campeche,subdel,Entre 15 y 20 años,202507,96,86,10,0,2,2,0,0,2
Campeche,subdel,Entre 20 y 25 años,202507,962,880,82,0,17,16,1,0,17
Campeche,subdel,Entre 25 y 30 años,202507,1196,1057,139,0,50,48,2,0,50
Campeche,subdel,Entre 30 y 35 años,202507,1039,910,129,0,76,65,11,0,76
Campeche,subdel,Entre 35 y 40 años,202507,785,699,86,0,81,70,11,0,81
Campeche,subdel,Entre 40 y 45 años,202507,511,437,74,0,70,62,8,0,70
Campeche,subdel,Entre 45 y 50 años,202507,290,262,28,0,41,37,4,0,41
Campeche,subdel,Entre 50 y 55 años,202507,199,175,24,0,32,29,3,0,32
Campeche,subdel,Entre 55 y 60 años,202507,135,122,13,0,23,21,2,0,23
Campeche,subdel,Entre 60 y 65 años,202507,46,45,1,0,7,6,1,0,7
Campeche,subdel,Entre 65 y 70 años,202507,12,11,1,0,1,1,0,0,1
Campeche,subdel,Entre 70 y 75 años,202507,7,7,0,0,3,3,0,0,3
Chiapas,subdel,75 años y más,202507,25,25,0,0,0,0,0,0,0
Chiapas,subdel,Entre 15 y 20 años,202507,13,13,0,0,1,1,0,0,1
Chiapas,subdel,Entre 20 y 25 años,202507,402,387,15,0,20,19,1,0,20
Chiapas,subdel,Entre 25 y 30 años,202507,627,601,26,0,21,21,0,0,21
Chiapas,subdel,Entre 30 y 35 años,202507,643,607,36,0,45,44,1,0,45
Chiapas,subdel,Entre 35 y 40 años,202507,544,523,21,0,32,31,1,0,32
Chiapas,subdel,Entre 40 y 45 años,202507,364,351,13,0,26,24,2,0,26
Chiapas,subdel,Entre 45 y 50 años,202507,247,238,9,0,23,23,0,0,23
Chiapas,subdel,Entre 50 y 55 años,202507,113,105,8,0,10,10,0,0,10
Chiapas,subdel,Entre 55 y 60 años,202507,55,54,1,0,5,5,0,0,5
Chiapas,subdel,Entre 60 y 65 años,202507,28,28,0,0,5,5,0,0,5
Chiapas,subdel,Entre 65 y 70 años,202507,6,6,0,0,1,1,0,0,1
Chiapas,subdel,Entre 70 y 75 años,202507,6,6,0,0,2,2,0,0,2
Chiapas,subdel,75 años y más,202507,638,574,64,0,15,13,2,0,15
Chiapas,subdel,Entre 15 y 20 años,202507,362,339,23,0,8,8,0,0,8
Chiapas,subdel,Entre 20 y 25 años,202507,4459,4127,332,0,191,181,10,0,191
Chiapas,subdel,Entre 25 y 30 años,202507,5938,5414,524,0,419,396,23,0,419
Chiapas,subdel,Entre 30 y 35 años,202507,4836,4371,465,0,449,424,25,0,449
Chiapas,subdel,Entre 35 y 40 años,202507,3418,3132,286,0,447,417,30,0,447
Chiapas,subdel,Entre 40 y 45 años,202507,2182,1978,204,0,280,265,15,0,280
Extranjero/Extranjera,subdel,Entre 15 y 20 años,202507,92,84,8,0,2,2,0,0,2
Extranjero/Extranjera,subdel,Entre 20 y 25 años,202507,832,731,101,0,55,50,5,0,55
Extranjero/Extranjera,subdel,Entre 25 y 30 años,202507,856,759,97,0,112,104,8,0,112
Extranjero/Extranjera,subdel,Entre 30 y 35 años,202507,963,825,138,0,144,126,18,0,144
Extranjero/Extranjera,subdel,Entre 35 y 40 años,202507,850,751,99,0,146,133,13,0,146
Extranjero/Extranjera,subdel,Entre 40 y 45 años,202507,587,514,73,0,122,111,11,0,122
Extranjero/Extranjera,subdel,Entre 45 y 50 años,202507,442,387,55,0,123,109,14,0,123
Extranjero/Extranjera,subdel,Entre 50 y 55 años,202507,281,235,46,0,78,71,7,0,78
Extranjero/Extranjera,subdel,Entre 55 y 60 años,202507,208,180,28,0,64,58,6,0,64
Extranjero/Extranjera,subdel,Entre 60 y 65 años,202507,105,96,9,0,39,37,2,0,39
Extranjero/Extranjera,subdel,Entre 65 y 70 años,202507,51,49,2,0,16,15,1,0,16
Extranjero/Extranjera,subdel,Entre 70 y 75 años,202507,16,15,1,0,7,7,0,0,7
Guanajuato,subdel,75 años y más,202507,138,137,1,0,0,0,0,0,0
Guanajuato,subdel,Entre 15 y 20 años,202507,93,91,2,0,2,2,0,0,2
Guanajuato,subdel,Entre 20 y 25 años,202507,1154,1116,38,0,25,24,1,0,25
Guanajuato,subdel,Entre 25 y 30 años,202507,1480,1416,64,0,65,62,3,0,65
