CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Campeche,202510,Entre 60 y 65 años,1022.87,382.675714286,136,128,8,0,15,14,1,0
7,Transportes y comunicaciones,Campeche,202510,Entre 65 y 70 años,,336.716666667,47,46,1,0,6,6,0,0
7,Transportes y comunicaciones,Campeche,202510,Entre 70 y 75 años,,359.245,19,17,2,0,2,2,0,0
7,Transportes y comunicaciones,Chiapas,202510,75 años y más,379.96,368.263928571,972,898,74,0,29,28,1,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 15 y 20 años,,358.5925,432,410,22,0,20,20,0,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 20 y 25 años,406.67,382.715234043,5337,4934,403,0,244,235,9,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 25 y 30 años,349.152222222,383.52,7056,6512,544,0,498,480,18,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 30 y 35 años,362.055,397.237760911,6006,5528,478,0,553,527,26,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 35 y 40 años,335.6055,390.004850299,4466,4113,353,0,521,501,20,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 40 y 45 años,386.744545455,388.767301136,2864,2638,226,0,363,352,11,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 45 y 50 años,364.633333333,401.213579336,1780,1647,133,0,280,271,9,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 50 y 55 años,355.46,380.362087912,1057,944,113,0,192,182,10,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 55 y 60 años,341.035,391.0704,593,549,44,0,102,100,2,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 60 y 65 años,,371.446153846,213,202,11,0,26,26,0,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 65 y 70 años,,353.42,80,77,3,0,9,9,0,0
7,Transportes y comunicaciones,Chiapas,202510,Entre 70 y 75 años,,301.7,20,19,1,0,3,3,0,0
7,Transportes y comunicaciones,Chihuahua,202510,75 años y más,510.6525,351.307916667,1145,977,168,0,52,48,4,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 15 y 20 años,310.75,363.960158730,1480,1320,160,0,65,63,2,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 20 y 25 años,365.238947368,375.989661734,9108,7640,1468,0,492,473,19,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 25 y 30 años,351.816818182,387.732472222,9570,7845,1725,0,786,720,66,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 30 y 35 años,348.997352941,389.481204545,8935,7235,1700,0,982,880,102,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 35 y 40 años,357.026944444,394.362496571,6311,5061,1250,0,801,729,72,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 40 y 45 años,375.866349206,388.868024476,4341,3570,771,0,635,572,63,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 45 y 50 años,350.021176471,384.592281879,3004,2454,550,0,498,447,51,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 50 y 55 años,349.355806452,400.715988858,1986,1658,328,0,390,359,31,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 55 y 60 años,345.041428571,392.114059829,1232,1085,147,0,241,234,7,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 60 y 65 años,585.663333333,388.673191489,562,504,58,0,97,94,3,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 65 y 70 años,,369.699565217,204,200,4,0,46,46,0,0
7,Transportes y comunicaciones,Chihuahua,202510,Entre 70 y 75 años,,412.253333333,31,31,0,0,6,6,0,0
7,Transportes y comunicaciones,Ciudad de México,202510,75 años y más,310.555555556,357.557380952,8145,7155,990,0,219,210,9,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 15 y 20 años,362.1,349.872619048,3179,2891,288,0,43,42,1,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 20 y 25 años,324.885714286,356.361855912,37644,33799,3844,1,1333,1277,56,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 25 y 30 años,327.721571429,367.279019744,46940,42164,4776,0,3027,2887,140,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 30 y 35 años,338.460209424,374.045053346,48052,43117,4935,0,4315,4124,191,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 35 y 40 años,340.697741935,378.969005717,43303,39212,4091,0,5146,4898,248,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 40 y 45 años,346.138137652,387.394918513,39078,35650,3428,0,5708,5461,247,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 45 y 50 años,354.170187793,387.608465682,29341,26585,2756,0,5225,5012,213,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 50 y 55 años,364.497142857,389.317691068,23141,21030,2111,0,4526,4344,182,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 55 y 60 años,338.940350877,385.913329828,13663,12578,1085,0,2967,2853,114,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 60 y 65 años,345.050666667,383.696917960,7109,6705,404,0,1383,1353,30,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 65 y 70 años,350.345,374.794125561,2635,2502,133,0,454,446,8,0
7,Transportes y comunicaciones,Ciudad de México,202510,Entre 70 y 75 años,295.32,355.039349593,725,676,49,0,124,123,1,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,75 años y más,296.53,344.039677419,655,584,71,0,32,31,1,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 15 y 20 años,312.95,357.315555556,801,725,76,0,37,36,1,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 20 y 25 años,403.259333333,375.171533923,5777,5207,570,0,354,339,15,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 25 y 30 años,378.945294118,380.774279279,7192,6501,691,0,700,666,34,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 30 y 35 años,354.597619048,393.198274648,7617,6752,865,0,894,852,42,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 35 y 40 años,385.828644068,389.442832447,6063,5347,716,0,811,752,59,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 40 y 45 años,359.541555556,395.534029126,4447,3938,509,0,663,618,45,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 45 y 50 años,364.19,386.539408284,3043,2716,327,0,540,507,33,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 50 y 55 años,359.170555556,391.726481994,1980,1781,199,0,379,361,18,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 55 y 60 años,402.5125,386.810619469,1100,1009,91,0,234,226,8,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 60 y 65 años,389.0775,378.475151515,594,554,40,0,136,132,4,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 65 y 70 años,375.76,398.285,165,157,8,0,32,30,2,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202510,Entre 70 y 75 años,,345.523333333,44,44,0,0,12,12,0,0
7,Transportes y comunicaciones,Colima,202510,75 años y más,,312.2025,335,298,37,0,8,8,0,0
7,Transportes y comunicaciones,Colima,202510,Entre 15 y 20 años,,411.76,271,243,28,0,6,6,0,0
7,Transportes y comunicaciones,Colima,202510,Entre 20 y 25 años,350.106666667,360.853809524,1698,1534,164,0,45,42,3,0
7,Transportes y comunicaciones,Colima,202510,Entre 25 y 30 años,349.68625,384.348536585,1608,1417,191,0,90,82,8,0
7,Transportes y comunicaciones,Colima,202510,Entre 30 y 35 años,310.052857143,369.136309524,1333,1146,187,0,91,84,7,0
7,Transportes y comunicaciones,Colima,202510,Entre 35 y 40 años,372.738888889,383.375648148,1043,892,151,0,117,108,9,0
7,Transportes y comunicaciones,Colima,202510,Entre 40 y 45 años,374.545454545,381.244936709,695,591,104,0,90,79,11,0
7,Transportes y comunicaciones,Colima,202510,Entre 45 y 50 años,315.825,399.752115385,439,357,82,0,54,52,2,0
7,Transportes y comunicaciones,Colima,202510,Entre 50 y 55 años,335.06,380.996590909,303,258,45,0,46,44,2,0
7,Transportes y comunicaciones,Colima,202510,Entre 55 y 60 años,400.2,384.381034483,166,149,17,0,30,29,1,0
7,Transportes y comunicaciones,Colima,202510,Entre 60 y 65 años,,367.971428571,76,72,4,0,14,14,0,0
7,Transportes y comunicaciones,Colima,202510,Entre 65 y 70 años,,361.76875,38,37,1,0,8,8,0,0
7,Transportes y comunicaciones,Colima,202510,Entre 70 y 75 años,,303.39,10,9,1,0,1,1,0,0
7,Transportes y comunicaciones,Durango,202510,75 años y más,,392.674,570,519,51,0,15,15,0,0
7,Transportes y comunicaciones,Durango,202510,Entre 15 y 20 años,292.54,353.360909091,468,438,30,0,12,11,1,0
7,Transportes y comunicaciones,Durango,202510,Entre 20 y 25 años,402.88,377.947596899,3390,3080,310,0,135,129,6,0
7,Transportes y comunicaciones,Durango,202510,Entre 25 y 30 años,353.326923077,391.838863636,3547,3171,376,0,233,220,13,0
7,Transportes y comunicaciones,Durango,202510,Entre 30 y 35 años,317.634545455,403.401185771,3372,2944,428,0,264,253,11,0
7,Transportes y comunicaciones,Durango,202510,Entre 35 y 40 años,353.732307692,395.214708738,2339,2057,282,0,219,206,13,0
7,Transportes y comunicaciones,Durango,202510,Entre 40 y 45 años,365.218,395.762626263,1692,1471,221,0,218,198,20,0
7,Transportes y comunicaciones,Durango,202510,Entre 45 y 50 años,373.771818182,400.322616279,1138,1001,137,0,183,172,11,0
7,Transportes y comunicaciones,Durango,202510,Entre 50 y 55 años,417.543076923,412.325741935,772,672,100,0,168,155,13,0
7,Transportes y comunicaciones,Durango,202510,Entre 55 y 60 años,295.01,407.403098592,426,376,50,0,76,71,5,0
7,Transportes y comunicaciones,Durango,202510,Entre 60 y 65 años,278.8,392.503023256,215,192,23,0,44,43,1,0
7,Transportes y comunicaciones,Durango,202510,Entre 65 y 70 años,,376.7775,96,90,6,0,20,20,0,0
7,Transportes y comunicaciones,Durango,202510,Entre 70 y 75 años,,368.646666667,24,23,1,0,3,3,0,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,75 años y más,310.065,378.635555556,414,372,42,0,20,18,2,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 15 y 20 años,,431.653333333,151,132,19,0,6,6,0,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 20 y 25 años,330.656666667,388.207215190,1175,1031,144,0,82,79,3,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 25 y 30 años,391.038,410.883741935,1445,1302,143,0,160,155,5,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 30 y 35 años,368.008666667,402.727202073,1661,1474,187,0,208,193,15,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 35 y 40 años,351.476666667,406.418867925,1438,1281,157,0,221,212,9,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 40 y 45 años,362.180714286,406.923908046,1029,916,113,0,188,174,14,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 45 y 50 años,333.512857143,423.584113924,800,712,88,0,165,158,7,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202510,Entre 50 y 55 años,389.94375,421.6,534,450,84,0,117,109,8,0
