entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_NB,PTPD_Puestos_M
Chihuahua,subdel,Entre 50 y 55 años,202510,1986,1658,328,0,390,359,0,31
Chihuahua,subdel,Entre 55 y 60 años,202510,1232,1085,147,0,241,234,0,7
Chihuahua,subdel,Entre 60 y 65 años,202510,562,504,58,0,97,94,0,3
Chihuahua,subdel,Entre 65 y 70 años,202510,204,200,4,0,46,46,0,0
Chihuahua,subdel,Entre 70 y 75 años,202510,31,31,0,0,6,6,0,0
Ciudad de México,subdel,75 años y más,202510,8145,7155,990,0,219,210,0,9
Ciudad de México,subdel,Entre 15 y 20 años,202510,3179,2891,288,0,43,42,0,1
Ciudad de México,subdel,Entre 20 y 25 años,202510,37644,33799,3844,1,1333,1277,0,56
Ciudad de México,subdel,Entre 25 y 30 años,202510,46940,42164,4776,0,3027,2887,0,140
Ciudad de México,subdel,Entre 30 y 35 años,202510,48052,43117,4935,0,4315,4124,0,191
Ciudad de México,subdel,Entre 35 y 40 años,202510,43303,39212,4091,0,5146,4898,0,248
Ciudad de México,subdel,Entre 40 y 45 años,202510,39078,35650,3428,0,5708,5461,0,247
Ciudad de México,subdel,Entre 45 y 50 años,202510,29341,26585,2756,0,5225,5012,0,213
Ciudad de México,subdel,Entre 50 y 55 años,202510,23141,21030,2111,0,4526,4344,0,182
Ciudad de México,subdel,Entre 55 y 60 años,202510,13663,12578,1085,0,2967,2853,0,114
Ciudad de México,subdel,Entre 60 y 65 años,202510,7109,6705,404,0,1383,1353,0,30
Ciudad de México,subdel,Entre 65 y 70 años,202510,2635,2502,133,0,454,446,0,8
Ciudad de México,subdel,Entre 70 y 75 años,202510,725,676,49,0,124,123,0,1
Coahuila de Zaragoza,subdel,75 años y más,202510,655,584,71,0,32,31,0,1
Coahuila de Zaragoza,subdel,Entre 15 y 20 años,202510,801,725,76,0,37,36,0,1
Coahuila de Zaragoza,subdel,Entre 20 y 25 años,202510,5777,5207,570,0,354,339,0,15
Coahuila de Zaragoza,subdel,Entre 25 y 30 años,202510,7192,6501,691,0,700,666,0,34
Coahuila de Zaragoza,subdel,Entre 30 y 35 años,202510,7617,6752,865,0,894,852,0,42
Coahuila de Zaragoza,subdel,Entre 35 y 40 años,202510,6063,5347,716,0,811,752,0,59
Coahuila de Zaragoza,subdel,Entre 40 y 45 años,202510,4447,3938,509,0,663,618,0,45
Coahuila de Zaragoza,subdel,Entre 45 y 50 años,202510,3043,2716,327,0,540,507,0,33
Coahuila de Zaragoza,subdel,Entre 50 y 55 años,202510,1980,1781,199,0,379,361,0,18
Coahuila de Zaragoza,subdel,Entre 55 y 60 años,202510,1100,1009,91,0,234,226,0,8
Coahuila de Zaragoza,subdel,Entre 60 y 65 años,202510,594,554,40,0,136,132,0,4
Coahuila de Zaragoza,subdel,Entre 65 y 70 años,202510,165,157,8,0,32,30,0,2
Coahuila de Zaragoza,subdel,Entre 70 y 75 años,202510,44,44,0,0,12,12,0,0
Colima,subdel,75 años y más,202510,335,298,37,0,8,8,0,0
