entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_NB,PTPD_Puestos_M
Sinaloa,subdel,Entre 20 y 25 años,202510,7238,6673,565,0,433,421,0,12
Sinaloa,subdel,Entre 25 y 30 años,202510,8492,7758,734,0,729,688,0,41
Sinaloa,subdel,Entre 30 y 35 años,202510,7974,7082,892,0,785,734,0,51
Sinaloa,subdel,Entre 35 y 40 años,202510,6202,5474,728,0,804,746,0,58
Sinaloa,subdel,Entre 40 y 45 años,202510,4664,4095,569,0,674,624,0,50
Sinaloa,subdel,Entre 45 y 50 años,202510,3480,3060,420,0,579,547,0,32
Sinaloa,subdel,Entre 50 y 55 años,202510,2202,1924,278,0,417,381,0,36
Sinaloa,subdel,Entre 55 y 60 años,202510,1292,1170,122,0,269,247,0,22
Sinaloa,subdel,Entre 60 y 65 años,202510,602,557,45,0,111,106,0,5
Sinaloa,subdel,Entre 65 y 70 años,202510,224,205,19,0,31,31,0,0
Sinaloa,subdel,Entre 70 y 75 años,202510,53,51,2,0,12,12,0,0
Sonora,subdel,75 años y más,202510,759,685,74,0,29,26,0,3
Sonora,subdel,Entre 15 y 20 años,202510,607,571,36,0,21,20,0,1
Sonora,subdel,Entre 20 y 25 años,202510,5204,4727,477,0,348,328,0,20
Sonora,subdel,Entre 25 y 30 años,202510,6307,5541,766,0,637,591,0,46
Sonora,subdel,Entre 30 y 35 años,202510,6156,5309,847,0,780,723,0,57
Sonora,subdel,Entre 35 y 40 años,202510,4943,4181,762,0,678,604,0,74
Sonora,subdel,Entre 40 y 45 años,202510,3863,3296,567,0,633,558,0,75
Sonora,subdel,Entre 45 y 50 años,202510,2865,2417,448,0,532,469,0,63
Sonora,subdel,Entre 50 y 55 años,202510,1864,1586,278,0,437,400,0,37
Sonora,subdel,Entre 55 y 60 años,202510,1091,949,142,0,245,221,0,24
Sonora,subdel,Entre 60 y 65 años,202510,587,539,48,0,119,116,0,3
Sonora,subdel,Entre 65 y 70 años,202510,208,194,14,0,41,38,0,3
Sonora,subdel,Entre 70 y 75 años,202510,63,61,2,0,11,11,0,0
Tabasco,subdel,75 años y más,202510,648,592,56,0,9,9,0,0
Tabasco,subdel,Entre 15 y 20 años,202510,385,359,26,0,8,8,0,0
Tabasco,subdel,Entre 20 y 25 años,202510,4060,3705,355,0,169,163,0,6
Tabasco,subdel,Entre 25 y 30 años,202510,5367,4880,487,0,357,340,0,17
Tabasco,subdel,Entre 30 y 35 años,202510,4977,4474,503,0,393,373,0,20
Tabasco,subdel,Entre 35 y 40 años,202510,3912,3541,371,0,422,403,0,19
Tabasco,subdel,Entre 40 y 45 años,202510,2667,2426,241,0,308,298,0,10
Tabasco,subdel,Entre 45 y 50 años,202510,1704,1529,175,0,218,212,0,6
Tabasco,subdel,Entre 50 y 55 años,202510,957,854,103,0,132,123,0,9
Tabasco,subdel,Entre 55 y 60 años,202510,460,423,37,0,68,61,0,7
Tabasco,subdel,Entre 60 y 65 años,202510,159,150,9,0,30,30,0,0
Tabasco,subdel,Entre 65 y 70 años,202510,55,52,3,0,11,11,0,0
Tabasco,subdel,Entre 70 y 75 años,202510,10,8,2,0,1,0,0,1
Tamaulipas,subdel,75 años y más,202510,1061,927,134,0,46,41,0,5
Tamaulipas,subdel,Entre 15 y 20 años,202510,695,648,47,0,33,32,0,1
Tamaulipas,subdel,Entre 20 y 25 años,202510,6473,5745,728,0,447,419,0,28
Tamaulipas,subdel,Entre 25 y 30 años,202510,7468,6612,856,0,690,653,0,37
Tamaulipas,subdel,Entre 30 y 35 años,202510,6909,6025,884,0,809,755,0,54
Tamaulipas,subdel,Entre 35 y 40 años,202510,5235,4569,666,0,652,600,0,52
Tamaulipas,subdel,Entre 40 y 45 años,202510,3797,3328,469,0,515,486,0,29
Tamaulipas,subdel,Entre 45 y 50 años,202510,2525,2211,314,0,437,409,0,28
Tamaulipas,subdel,Entre 50 y 55 años,202510,1701,1495,206,0,300,276,0,24
Tamaulipas,subdel,Entre 55 y 60 años,202510,1039,915,124,0,201,178,0,23
Tamaulipas,subdel,Entre 60 y 65 años,202510,545,507,38,0,94,92,0,2
Tamaulipas,subdel,Entre 65 y 70 años,202510,173,167,6,0,23,23,0,0
Tamaulipas,subdel,Entre 70 y 75 años,202510,55,53,2,0,12,12,0,0
Tlaxcala,subdel,75 años y más,202510,248,235,13,0,4,4,0,0
Tlaxcala,subdel,Entre 15 y 20 años,202510,86,86,0,0,2,2,0,0
Tlaxcala,subdel,Entre 20 y 25 años,202510,1288,1231,57,0,33,31,0,2
Tlaxcala,subdel,Entre 25 y 30 años,202510,1610,1521,89,0,78,74,0,4
Tlaxcala,subdel,Entre 30 y 35 años,202510,1402,1320,82,0,85,84,0,1
Tlaxcala,subdel,Entre 35 y 40 años,202510,1086,1016,70,0,93,90,0,3
Tlaxcala,subdel,Entre 40 y 45 años,202510,780,742,38,0,88,87,0,1
Tlaxcala,subdel,Entre 45 y 50 años,202510,544,507,37,0,75,70,0,5
Tlaxcala,subdel,Entre 50 y 55 años,202510,354,338,16,0,60,60,0,0
Tlaxcala,subdel,Entre 55 y 60 años,202510,171,164,7,0,23,23,0,0
Tlaxcala,subdel,Entre 60 y 65 años,202510,127,122,5,0,22,22,0,0
Tlaxcala,subdel,Entre 65 y 70 años,202510,47,44,3,0,11,10,0,1
Tlaxcala,subdel,Entre 70 y 75 años,202510,12,11,1,0,3,3,0,0
Veracruz,subdel,75 años y más,202510,1276,1154,122,0,33,33,0,0
Veracruz,subdel,Entre 15 y 20 años,202510,881,805,76,0,32,31,0,1
Veracruz,subdel,Entre 20 y 25 años,202510,9527,8687,840,0,516,498,0,18
Veracruz,subdel,Entre 25 y 30 años,202510,13609,12274,1335,0,1104,1052,0,52
Veracruz,subdel,Entre 30 y 35 años,202510,14125,12647,1478,0,1464,1382,0,82
Veracruz,subdel,Entre 35 y 40 años,202510,11178,10060,1118,0,1349,1277,0,72
Veracruz,subdel,Entre 40 y 45 años,202510,8237,7440,797,0,1153,1106,0,47
Veracruz,subdel,Entre 45 y 50 años,202510,5590,5094,496,0,900,859,0,41
Veracruz,subdel,Entre 50 y 55 años,202510,3647,3310,337,0,627,602,0,25
Veracruz,subdel,Entre 55 y 60 años,202510,1964,1810,154,0,384,365,0,19
Veracruz,subdel,Entre 60 y 65 años,202510,956,880,76,0,155,151,0,4
Veracruz,subdel,Entre 65 y 70 años,202510,319,300,19,0,46,45,0,1
Veracruz,subdel,Entre 70 y 75 años,202510,95,91,4,0,10,10,0,0
Yucatán,subdel,75 años y más,202510,774,698,76,0,12,11,0,1
Yucatán,subdel,Entre 15 y 20 años,202510,369,340,29,0,16,16,0,0
Yucatán,subdel,Entre 20 y 25 años,202510,4907,4489,418,0,229,215,0,14
Yucatán,subdel,Entre 25 y 30 años,202510,6640,6009,631,0,457,429,0,28
Yucatán,subdel,Entre 30 y 35 años,202510,7061,6301,760,0,605,567,0,38
Yucatán,subdel,Entre 35 y 40 años,202510,6114,5456,658,0,671,630,0,41
Yucatán,subdel,Entre 40 y 45 años,202510,4628,4145,483,0,587,545,0,42
Yucatán,subdel,Entre 45 y 50 años,202510,3176,2885,291,0,466,434,0,32
Yucatán,subdel,Entre 50 y 55 años,202510,2251,2031,220,0,384,362,0,22
Yucatán,subdel,Entre 55 y 60 años,202510,1240,1122,118,0,265,246,0,19
Yucatán,subdel,Entre 60 y 65 años,202510,622,571,51,0,90,88,0,2
Yucatán,subdel,Entre 65 y 70 años,202510,186,179,7,0,39,39,0,0
Yucatán,subdel,Entre 70 y 75 años,202510,61,57,4,0,6,6,0,0
Zacatecas,subdel,75 años y más,202510,293,280,13,0,6,6,0,0
Zacatecas,subdel,Entre 15 y 20 años,202510,181,176,5,0,2,2,0,0
Zacatecas,subdel,Entre 20 y 25 años,202510,1484,1385,99,0,53,51,0,2
Zacatecas,subdel,Entre 25 y 30 años,202510,1726,1598,128,0,97,91,0,6
Zacatecas,subdel,Entre 30 y 35 años,202510,1402,1245,157,0,148,137,0,11
Zacatecas,subdel,Entre 35 y 40 años,202510,1262,1124,138,0,157,146,0,11
Zacatecas,subdel,Entre 40 y 45 años,202510,916,826,90,0,106,103,0,3
Zacatecas,subdel,Entre 45 y 50 años,202510,706,645,61,0,120,114,0,6
Zacatecas,subdel,Entre 50 y 55 años,202510,552,499,53,0,102,98,0,4
Zacatecas,subdel,Entre 55 y 60 años,202510,385,357,28,0,89,88,0,1
Zacatecas,subdel,Entre 60 y 65 años,202510,247,236,11,0,56,55,0,1
Zacatecas,subdel,Entre 65 y 70 años,202510,91,84,7,0,18,18,0,0
Zacatecas,subdel,Entre 70 y 75 años,202510,28,24,4,0,3,3,0,0
Jalisco,subdel,75 años y más,202510,3618,3286,332,0,144,140,0,4
Michoacán de Ocampo,subdel,75 años y más,202510,822,776,46,0,11,11,0,0
Jalisco,subdel,Entre 15 y 20 años,202510,2601,2402,199,0,83,82,0,1
Michoacán de Ocampo,subdel,Entre 15 y 20 años,202510,378,358,20,0,6,6,0,0
Jalisco,subdel,Entre 20 y 25 años,202510,18898,17215,1683,0,1094,1059,0,35
Michoacán de Ocampo,subdel,Entre 20 y 25 años,202510,3805,3539,266,0,167,163,0,4
Jalisco,subdel,Entre 25 y 30 años,202510,20296,18432,1864,0,1744,1671,0,73
Michoacán de Ocampo,subdel,Entre 25 y 30 años,202510,4653,4303,350,0,278,264,0,14
Jalisco,subdel,Entre 30 y 35 años,202510,18320,16455,1865,0,2003,1872,0,131
Michoacán de Ocampo,subdel,Entre 30 y 35 años,202510,4557,4141,416,0,372,352,0,20
Jalisco,subdel,Entre 35 y 40 años,202510,15189,13545,1644,0,2013,1892,0,121
Michoacán de Ocampo,subdel,Entre 35 y 40 años,202510,3471,3120,351,0,401,385,0,16
Jalisco,subdel,Entre 40 y 45 años,202510,11471,10274,1197,0,1773,1674,0,99
Jalisco,subdel,Entre 45 y 50 años,202510,7995,7094,901,0,1417,1333,0,84
Jalisco,subdel,Entre 50 y 55 años,202510,5705,5090,615,0,1080,1023,0,57
Hidalgo,subdel,Entre 55 y 60 años,202510,313,293,20,0,74,74,0,0
Jalisco,subdel,Entre 55 y 60 años,202510,3056,2790,266,0,676,642,0,34
Hidalgo,subdel,Entre 60 y 65 años,202510,187,178,9,0,40,38,0,2
Jalisco,subdel,Entre 60 y 65 años,202510,1472,1382,90,0,296,289,0,7
Hidalgo,subdel,Entre 65 y 70 años,202510,89,83,6,0,14,14,0,0
Jalisco,subdel,Entre 65 y 70 años,202510,520,483,37,0,64,64,0,0
Hidalgo,subdel,Entre 70 y 75 años,202510,29,24,5,0,6,6,0,0
Jalisco,subdel,Entre 70 y 75 años,202510,139,124,15,0,18,18,0,0
