CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
8,Servicios para empresas,Baja California Sur,202507,75 años y más,,,24,22,2,0,0,0,0,0
8,Servicios para empresas,Baja California Sur,202507,Entre 15 y 20 años,,297.185,24,22,2,0,2,2,0,0
8,Servicios para empresas,Baja California Sur,202507,Entre 20 y 25 años,,318.421666667,248,223,25,0,12,12,0,0
8,Servicios para empresas,Baja California Sur,202507,Entre 25 y 30 años,,308.765714286,291,258,33,0,14,14,0,0
8,Servicios para empresas,Baja California Sur,202507,Entre 30 y 35 años,278.8,283.185833333,275,233,42,0,13,12,1,0
8,Servicios para empresas,Baja California Sur,202507,Entre 35 y 40 años,278.8,278.8,245,198,47,0,13,12,1,0
8,Servicios para empresas,Baja California Sur,202507,Entre 40 y 45 años,,278.8,158,132,26,0,8,8,0,0
8,Servicios para empresas,Baja California Sur,202507,Entre 45 y 50 años,278.8,297.392,136,116,20,0,6,5,1,0
8,Servicios para empresas,Baja California Sur,202507,Entre 50 y 55 años,,278.8,58,50,8,0,5,5,0,0
8,Servicios para empresas,Baja California Sur,202507,Entre 55 y 60 años,,278.8,25,22,3,0,4,4,0,0
8,Servicios para empresas,Baja California Sur,202507,Entre 60 y 65 años,,340.56,23,21,2,0,2,2,0,0
8,Servicios para empresas,Baja California Sur,202507,Entre 65 y 70 años,,,6,6,0,0,0,0,0,0
7,Transportes y comunicaciones,Baja California Sur,202507,75 años y más,,377.9275,161,147,14,0,4,4,0,0
7,Transportes y comunicaciones,Baja California Sur,202507,Entre 15 y 20 años,,428.433333333,99,88,11,0,3,3,0,0
7,Transportes y comunicaciones,Baja California Sur,202507,Entre 20 y 25 años,355.45,371.419305556,885,796,89,0,76,72,4,0
7,Transportes y comunicaciones,Baja California Sur,202507,Entre 25 y 30 años,367.900769231,383.051341463,876,746,130,0,95,82,13,0
7,Transportes y comunicaciones,Baja California Sur,202507,Entre 30 y 35 años,379.151111111,373.123333333,719,603,116,0,93,84,9,0
7,Transportes y comunicaciones,Baja California Sur,202507,Entre 35 y 40 años,365.34,378.520517241,495,409,86,0,72,58,14,0
7,Transportes y comunicaciones,Baja California Sur,202507,Entre 40 y 45 años,382.596,373.411578947,331,275,56,0,43,38,5,0
7,Transportes y comunicaciones,Baja California Sur,202507,Entre 45 y 50 años,296.544,409.293421053,199,159,40,0,43,38,5,0
7,Transportes y comunicaciones,Baja California Sur,202507,Entre 50 y 55 años,346.96,389.541481481,110,91,19,0,30,27,3,0
7,Transportes y comunicaciones,Baja California Sur,202507,Entre 55 y 60 años,373.59,434.019230769,66,57,9,0,15,13,2,0
7,Transportes y comunicaciones,Baja California Sur,202507,Entre 60 y 65 años,292.55,410.65,28,25,3,0,8,7,1,0
7,Transportes y comunicaciones,Baja California Sur,202507,Entre 65 y 70 años,,404.106666667,13,12,1,0,3,3,0,0
8,Servicios para empresas,Campeche,202507,75 años y más,,,32,32,0,0,0,0,0,0
8,Servicios para empresas,Campeche,202507,Entre 15 y 20 años,,,4,4,0,0,0,0,0,0
8,Servicios para empresas,Campeche,202507,Entre 20 y 25 años,,297.321,265,251,14,0,10,10,0,0
8,Servicios para empresas,Campeche,202507,Entre 25 y 30 años,,278.8,538,484,54,0,25,25,0,0
8,Servicios para empresas,Campeche,202507,Entre 30 y 35 años,278.8,285.844561404,606,544,62,0,61,57,4,0
8,Servicios para empresas,Campeche,202507,Entre 35 y 40 años,278.8,278.8,554,495,59,0,44,42,2,0
8,Servicios para empresas,Campeche,202507,Entre 40 y 45 años,292.54,278.8,356,319,37,0,44,43,1,0
8,Servicios para empresas,Campeche,202507,Entre 45 y 50 años,278.8,294.0924,182,162,20,0,26,25,1,0
8,Servicios para empresas,Campeche,202507,Entre 50 y 55 años,278.8,278.8,146,125,21,0,12,11,1,0
8,Servicios para empresas,Campeche,202507,Entre 55 y 60 años,,278.8,81,71,10,0,10,10,0,0
8,Servicios para empresas,Campeche,202507,Entre 60 y 65 años,,278.8,29,29,0,0,1,1,0,0
8,Servicios para empresas,Campeche,202507,Entre 65 y 70 años,,,10,10,0,0,0,0,0,0
8,Servicios para empresas,Campeche,202507,Entre 70 y 75 años,,,2,2,0,0,0,0,0,0
7,Transportes y comunicaciones,Campeche,202507,75 años y más,,347.97,172,158,14,0,1,1,0,0
7,Transportes y comunicaciones,Campeche,202507,Entre 15 y 20 años,,298.955,96,86,10,0,2,2,0,0
7,Transportes y comunicaciones,Campeche,202507,Entre 20 y 25 años,292.55,342.829375,962,880,82,0,17,16,1,0
7,Transportes y comunicaciones,Campeche,202507,Entre 25 y 30 años,450.47,354.879791667,1196,1057,139,0,50,48,2,0
7,Transportes y comunicaciones,Campeche,202507,Entre 30 y 35 años,300.033636364,356.587230769,1039,910,129,0,76,65,11,0
7,Transportes y comunicaciones,Campeche,202507,Entre 35 y 40 años,302.846363636,399.045428571,785,699,86,0,81,70,11,0
7,Transportes y comunicaciones,Campeche,202507,Entre 40 y 45 años,296.21125,408.863225806,511,437,74,0,70,62,8,0
7,Transportes y comunicaciones,Campeche,202507,Entre 45 y 50 años,316.6,359.895675676,290,262,28,0,41,37,4,0
7,Transportes y comunicaciones,Campeche,202507,Entre 50 y 55 años,308.563333333,409.636206897,199,175,24,0,32,29,3,0
7,Transportes y comunicaciones,Campeche,202507,Entre 55 y 60 años,438.05,424.384761905,135,122,13,0,23,21,2,0
7,Transportes y comunicaciones,Campeche,202507,Entre 60 y 65 años,1073.11,436.093333333,46,45,1,0,7,6,1,0
7,Transportes y comunicaciones,Campeche,202507,Entre 65 y 70 años,,473.19,12,11,1,0,1,1,0,0
7,Transportes y comunicaciones,Campeche,202507,Entre 70 y 75 años,,394.036666667,7,7,0,0,3,3,0,0
8,Servicios para empresas,Chiapas,202507,75 años y más,,,25,25,0,0,0,0,0,0
8,Servicios para empresas,Chiapas,202507,Entre 15 y 20 años,,278.8,13,13,0,0,1,1,0,0
8,Servicios para empresas,Chiapas,202507,Entre 20 y 25 años,350.46,321.7,402,387,15,0,20,19,1,0
8,Servicios para empresas,Chiapas,202507,Entre 25 y 30 años,,315.148095238,627,601,26,0,21,21,0,0
8,Servicios para empresas,Chiapas,202507,Entre 30 y 35 años,278.8,321.145,643,607,36,0,45,44,1,0
8,Servicios para empresas,Chiapas,202507,Entre 35 y 40 años,278.8,283.776451613,544,523,21,0,32,31,1,0
8,Servicios para empresas,Chiapas,202507,Entre 40 y 45 años,278.8,305.61125,364,351,13,0,26,24,2,0
8,Servicios para empresas,Chiapas,202507,Entre 45 y 50 años,,298.833913043,247,238,9,0,23,23,0,0
8,Servicios para empresas,Chiapas,202507,Entre 50 y 55 años,,299.95,113,105,8,0,10,10,0,0
8,Servicios para empresas,Chiapas,202507,Entre 55 y 60 años,,278.8,55,54,1,0,5,5,0,0
8,Servicios para empresas,Chiapas,202507,Entre 60 y 65 años,,278.8,28,28,0,0,5,5,0,0
8,Servicios para empresas,Chiapas,202507,Entre 65 y 70 años,,335.79,6,6,0,0,1,1,0,0
8,Servicios para empresas,Chiapas,202507,Entre 70 y 75 años,,317.95,6,6,0,0,2,2,0,0
7,Transportes y comunicaciones,Chiapas,202507,75 años y más,315.375,353.918461538,638,574,64,0,15,13,2,0
7,Transportes y comunicaciones,Chiapas,202507,Entre 15 y 20 años,,403.95375,362,339,23,0,8,8,0,0
7,Transportes y comunicaciones,Chiapas,202507,Entre 20 y 25 años,391.482,393.020441989,4459,4127,332,0,191,181,10,0
7,Transportes y comunicaciones,Chiapas,202507,Entre 25 y 30 años,333.343043478,399.156060606,5938,5414,524,0,419,396,23,0
7,Transportes y comunicaciones,Chiapas,202507,Entre 30 y 35 años,337.2612,389.112617925,4836,4371,465,0,449,424,25,0
7,Transportes y comunicaciones,Chiapas,202507,Entre 35 y 40 años,335.872,399.074964029,3418,3132,286,0,447,417,30,0
7,Transportes y comunicaciones,Chiapas,202507,Entre 40 y 45 años,354.435333333,393.935849057,2182,1978,204,0,280,265,15,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 15 y 20 años,,341.215,92,84,8,0,2,2,0,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 20 y 25 años,339.932,393.975,832,731,101,0,55,50,5,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 25 y 30 años,297.64875,403.590769231,856,759,97,0,112,104,8,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 30 y 35 años,317.434444444,396.642539683,963,825,138,0,144,126,18,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 35 y 40 años,365.230769231,414.820902256,850,751,99,0,146,133,13,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 40 y 45 años,321.667272727,405.797927928,587,514,73,0,122,111,11,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 45 y 50 años,303.48,407.597706422,442,387,55,0,123,109,14,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 50 y 55 años,387.577142857,422.940140845,281,235,46,0,78,71,7,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 55 y 60 años,327.586666667,426.823965517,208,180,28,0,64,58,6,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 60 y 65 años,292.545,435.308108108,105,96,9,0,39,37,2,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 65 y 70 años,292.55,399.476666667,51,49,2,0,16,15,1,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202507,Entre 70 y 75 años,,320.517142857,16,15,1,0,7,7,0,0
8,Servicios para empresas,Guanajuato,202507,75 años y más,,,138,137,1,0,0,0,0,0
8,Servicios para empresas,Guanajuato,202507,Entre 15 y 20 años,,395.07,93,91,2,0,2,2,0,0
8,Servicios para empresas,Guanajuato,202507,Entre 20 y 25 años,347.73,339.620416667,1154,1116,38,0,25,24,1,0
8,Servicios para empresas,Guanajuato,202507,Entre 25 y 30 años,291.036666667,300.514516129,1480,1416,64,0,65,62,3,0
8,Servicios para empresas,Guanajuato,202507,Entre 30 y 35 años,278.8,297.022432432,1584,1506,78,0,75,74,1,0
8,Servicios para empresas,Guanajuato,202507,Entre 35 y 40 años,278.8,295.595774648,1269,1204,65,0,77,71,6,0
8,Servicios para empresas,Guanajuato,202507,Entre 40 y 45 años,278.8,283.551967213,1055,997,58,0,62,61,1,0
8,Servicios para empresas,Guanajuato,202507,Entre 45 y 50 años,,286.704166667,700,662,38,0,36,36,0,0
8,Servicios para empresas,Guanajuato,202507,Entre 50 y 55 años,278.8,284.904444444,492,466,26,0,39,36,3,0
8,Servicios para empresas,Guanajuato,202507,Entre 55 y 60 años,,278.8,299,292,7,0,21,21,0,0
8,Servicios para empresas,Guanajuato,202507,Entre 60 y 65 años,285.67,281.617826087,165,161,4,0,25,23,2,0
8,Servicios para empresas,Guanajuato,202507,Entre 65 y 70 años,,278.8,57,57,0,0,4,4,0,0
8,Servicios para empresas,Guanajuato,202507,Entre 70 y 75 años,,278.8,14,14,0,0,1,1,0,0
7,Transportes y comunicaciones,Guanajuato,202507,75 años y más,,329.3776,989,929,60,0,25,25,0,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 15 y 20 años,292.55,344.236521739,919,850,69,0,24,23,1,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 20 y 25 años,308.019090909,353.74276,6974,6439,535,0,261,250,11,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 25 y 30 años,318.809117647,349.437578475,7374,6743,631,0,480,446,34,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 30 y 35 años,321.305588235,363.911844197,6371,5769,602,0,697,629,68,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 35 y 40 años,336.988636364,378.514430147,4583,4114,469,0,588,544,44,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 40 y 45 años,332.080212766,383.965885714,3422,3068,354,0,572,525,47,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 45 y 50 años,332.007586207,390.433580563,1971,1736,235,0,420,391,29,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 50 y 55 años,349.130666667,403.834524496,1404,1272,132,0,362,347,15,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 55 y 60 años,344.093636364,395.338488889,905,845,60,0,236,225,11,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 60 y 65 años,310.6,380.030816327,423,409,14,0,99,98,1,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 65 y 70 años,455.72,369.7446875,179,167,12,0,33,32,1,0
7,Transportes y comunicaciones,Guanajuato,202507,Entre 70 y 75 años,,384.384,52,49,3,0,5,5,0,0
8,Servicios para empresas,Guerrero,202507,75 años y más,,278.8,24,23,1,0,1,1,0,0
8,Servicios para empresas,Guerrero,202507,Entre 15 y 20 años,,,14,14,0,0,0,0,0,0
8,Servicios para empresas,Guerrero,202507,Entre 20 y 25 años,292.54,288.375555556,308,299,9,0,10,9,1,0
8,Servicios para empresas,Guerrero,202507,Entre 25 y 30 años,278.8,322.91525,469,437,32,0,42,40,2,0
8,Servicios para empresas,Guerrero,202507,Entre 30 y 35 años,278.8,299.574102564,495,464,31,0,40,39,1,0
8,Servicios para empresas,Guerrero,202507,Entre 35 y 40 años,278.8,294.3725,417,389,28,0,33,32,1,0
8,Servicios para empresas,Guerrero,202507,Entre 40 y 45 años,,297.76,305,282,23,0,24,24,0,0
8,Servicios para empresas,Guerrero,202507,Entre 45 y 50 años,,297.882727273,212,200,12,0,22,22,0,0
